Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,801867.0,821461.0,547147.0,545126.0,786490.0,521906.0,527560.0
10,619745.0,611286.0,347558.0,257182.0,577787.0,339111.0,249119.0
20,610299.0,502150.0,267546.0,169928.0,480681.0,257089.0,159300.0
30,594557.0,438380.0,217542.0,123879.0,415993.0,213948.0,122355.0
40,587582.0,390391.0,188179.0,99824.3,367923.0,179844.0,93775.7
50,576071.0,350950.0,165425.0,83376.2,336046.0,157574.0,78681.4
60,568126.0,322972.0,147602.0,71542.7,307098.0,141134.0,68389.3
70,565446.0,302324.0,132147.0,62060.7,287937.0,123498.0,58188.4
80,559645.0,281968.0,118041.0,55462.1,265560.0,115456.0,52771.4
90,549553.0,267351.0,109538.0,50267.3,253044.0,107943.0,47132.3
100,549389.0,255019.0,104326.0,45754.3,242667.0,97528.2,43089.7
