Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET,Motor
0,3899370.0,4020210.0,2677130.0,2662790.0,3784520.0,2503900.0,2524120.0,1157000
10,2408170.0,2424040.0,1096940.0,464739.0,2318810.0,1030460.0,455331.0,1157000
20,2363090.0,1815380.0,673186.0,264374.0,1720960.0,669165.0,253322.0,1157000
30,2305250.0,1482020.0,503994.0,178593.0,1390590.0,496948.0,172394.0,1157000
40,2259520.0,1201610.0,387141.0,136052.0,1177940.0,371265.0,129153.0,1157000
50,2192010.0,1053290.0,303259.0,112399.0,992490.0,305866.0,100995.0,1157000
60,2090060.0,933304.0,270367.0,92843.8,861155.0,260429.0,88956.6,1157000
70,2196470.0,810530.0,230217.0,80261.6,824084.0,230701.0,74548.4,1157000
80,2040610.0,697647.0,221239.0,67596.6,723365.0,206380.0,66844.0,1157000
90,1971220.0,651257.0,189294.0,64464.2,654994.0,185485.0,58865.4,1157000
100,1984620.0,598531.0,173079.0,55372.0,589691.0,178081.0,52331.0,1157000
