Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,857091.0,859565.0,597586.0,598533.0,835305.0,577093.0,568588.0
10,658619.0,648226.0,394807.0,283781.0,624434.0,376501.0,268025.0
20,649561.0,549360.0,309392.0,186936.0,523023.0,294013.0,173932.0
30,631524.0,474399.0,245570.0,131677.0,453175.0,246898.0,130926.0
40,621592.0,427336.0,213718.0,110838.0,408511.0,207080.0,103660.0
50,611616.0,399650.0,182922.0,90169.7,382865.0,182729.0,85948.9
60,610802.0,365374.0,166192.0,78182.6,350426.0,163248.0,74569.8
70,594160.0,331632.0,152376.0,66993.8,330733.0,146901.0,65612.8
80,591908.0,320185.0,136715.0,60832.2,303354.0,134915.0,57127.5
90,586061.0,307675.0,125641.0,54954.8,294634.0,123555.0,53285.0
100,586794.0,291090.0,120050.0,48535.8,273268.0,113451.0,46869.6
