Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,685745.0,620569.0,491128.0,496984.0,647202.0,523853.0,518209.0
10,536948.0,426355.0,296856.0,228386.0,435466.0,307167.0,224964.0
20,523616.0,346020.0,226548.0,152284.0,353329.0,228685.0,143320.0
30,514301.0,294813.0,186336.0,112662.0,296574.0,190402.0,108654.0
40,504724.0,265631.0,158925.0,93049.4,264625.0,159481.0,87472.4
50,497296.0,240651.0,139591.0,74323.2,240460.0,136528.0,72611.0
60,489359.0,220326.0,125277.0,64837.8,222257.0,125223.0,62900.4
70,483757.0,206063.0,116152.0,55236.2,201813.0,109818.0,52800.6
80,476231.0,187637.0,104597.0,50495.0,191406.0,105001.0,49888.8
90,468741.0,179697.0,95964.2,45034.0,179222.0,93705.0,42297.2
100,465545.0,171147.0,87404.0,42037.2,171211.0,87051.6,39411.8
