Remote_Ratio,0,10000000,50000000,100000000,150000000,200000000,Sundial-CXL-improved,TwoPL-CXL-improved
0,1702680.0,1694860.0,1689390.0,1696450.0,1695800.0,1692630.0,1568940.0,1685940.0
10,1128390.0,1023280.0,974824.0,953736.0,940196.0,923843.0,1113140.0,1149950.0
20,1096760.0,788098.0,744844.0,724122.0,737962.0,726340.0,902197.0,950082.0
30,1060320.0,639599.0,602099.0,593865.0,599643.0,604986.0,787620.0,817984.0
40,1038260.0,548816.0,525522.0,511704.0,508253.0,507122.0,694724.0,732489.0
50,1025800.0,464057.0,458093.0,442047.0,443147.0,452354.0,632817.0,645831.0
60,998646.0,421428.0,404854.0,390312.0,395020.0,401072.0,583580.0,582573.0
70,980052.0,370534.0,367910.0,358298.0,351979.0,355290.0,532763.0,544074.0
80,971259.0,333026.0,326001.0,330917.0,322552.0,324083.0,504636.0,505709.0
90,950825.0,308898.0,306935.0,295431.0,302267.0,303487.0,472273.0,474286.0
100,940987.0,283466.0,286107.0,279496.0,279598.0,276288.0,443875.0,458844.0
