Policy,Tput,MsgExchange,local_CXL_access_ratio,remote_access_with_req_ratio,Move_in,Move_out
Eagerly-OnDemand-100,413330.0,139086899.,0.0899341%,70.1432%,279658,279704
Eagerly-OnDemand-1000,351687.0,102864176.,1.01185%,55.1036%,194087,193802
Eagerly-OnDemand-10000,405929.0,91776339.,7.52024%,45.5596%,180523,179981
Eagerly-OnDemand-50000,522007.0,60710202.,22.3762%,24.2245%,121081,99998
Eagerly-OnDemand-100000,565560.0,36564494.,31.0791%,12.7032%,65922,99999
Eagerly-Reactive-1,385149.0,242972587.,0.00131685%,96.6964%,362785,362786
OnDemandFIFO-OnDemand-100,435568.0,137389971.,0.18119%,67.3805%,281842,281842
OnDemandFIFO-OnDemand-1000,453460.0,120059640.,1.84978%,56.6371%,244919,244919
OnDemandFIFO-OnDemand-10000,489492.0,94404552.,11.1389%,41.7811%,192805,192805
OnDemandFIFO-OnDemand-50000,561438.0,49893024.,26.6144%,18.9168%,99904,99904
OnDemandFIFO-OnDemand-100000,608344.0,28593194.,34.1057%,8.51838%,47279,47279
