Policy,Tput,MsgExchange,local_CXL_access_ratio,remote_access_with_req_ratio,Move_in,Move_out
Eagerly-OnDemand-100,232492.0,97284611.,14.9068%,65.5508%,675730,675735
Eagerly-OnDemand-1000,155521.0,59611601.,34.6766%,39.8052%,335623,335551
Eagerly-OnDemand-10000,221451.0,57584952.,57.2595%,26.6268%,280556,279349
Eagerly-OnDemand-50000,327544.0,40397896.,80.9418%,10.82%,158037,149905
Eagerly-OnDemand-100000,452100.0,10289336.,99.7901%,0.19239%,3700,0
Eagerly-Reactive-1,269565.0,162458839.,2.25267%,90.0584%,1026105,1026110
OnDemandFIFO-OnDemand-100,245885.0,99742502.,17.3348%,64.0758%,690369,690368
OnDemandFIFO-OnDemand-1000,247390.0,82037425.,37.8372%,45.2472%,497400,497399
OnDemandFIFO-OnDemand-10000,288822.0,66013051.,62.3684%,24.8787%,315153,315153
OnDemandFIFO-OnDemand-50000,371148.0,32656555.,87.9957%,7.07853%,111591,111591
OnDemandFIFO-OnDemand-100000,451447.0,10266537.,99.6982%,0.195785%,3608,0
