Policy,tput,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in,data_move_out
Eagerly-OnDemand-100,368302.0,1309335,31424040,0.00473923,0.068669%,99.3521%,1288450,1288450
Eagerly-OnDemand-1000,201016.0,750374,18008976,0.0287136,0.64116%,95.3774%,700434,700333
Eagerly-OnDemand-10000,203992.0,705317,16927608,0.0266266,6.34309%,91.6025%,668195,669287
Eagerly-OnDemand-50000,287149.0,674442,16186608,0.022889,34.9524%,61.8499%,654283,699539
Eagerly-OnDemand-100000,670028.0,40787,978888,0.00288468,100%,0%,0,0
Eagerly-Reactive-1,421298.0,1509819,36235656,0.00398544,0.00641868%,99.8452%,1475738,1475760
OnDemandFIFO-OnDemand-100,376824.0,1347196,32332704,0.00414425,0.122374%,99.3322%,1320480,1320480
OnDemandFIFO-OnDemand-1000,331020.0,1173797,28171128,0.00457365,1.22287%,98.1827%,1142582,1142583
OnDemandFIFO-OnDemand-10000,344938.0,1087526,26100624,0.00427445,12.212%,87.3104%,1056179,1056179
OnDemandFIFO-OnDemand-50000,433253.0,606994,14567856,0.0038262,60.9937%,38.7401%,591505,591506
OnDemandFIFO-OnDemand-100000,670313.0,41148,987552,0.00295957,100%,0%,0,0
