Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,679888,30498272,418699372,134218176,54580,1597844,0.0422025,36.5377%,5.43269%,17163,0,52446212,0
Eagerly-OnDemand-10K,527936,27973440,39312,134218176,338109,10267452,0.0605181,0.0141173%,86.5923%,218675,218668,390671008,390667004
Eagerly-OnDemand-100K,533329,28397280,469196,134218176,262632,7827628,0.0621364,0.185705%,64.4028%,164775,164636,276925012,276837288
Eagerly-OnDemand-1MB,509682,28121728,3682224,134218176,219230,6481356,0.0747538,1.95756%,55.2879%,135710,136365,222109888,221953368
Eagerly-OnDemand-10MB,584174,29178592,73268104,134218176,169467,4996920,0.0683491,12.8162%,35.168%,107621,100101,169181012,159995472
Eagerly-OnDemand-100MB,681438,30527648,419065556,134218176,54319,1590076,0.0421212,36.5356%,5.45539%,17279,0,52474604,0
Eagerly-Reactive-1,516678,27671008,4368,134218176,364054,11090368,0.0617629,0.00120405%,95.7527%,237726,237726,428849148,428849148
OnDemandFIFO-OnDemand-10K,534229,28114624,78260,134218176,328961,9966884,0.0590864,0.0261381%,82.9601%,212917,212918,375368812,375358984
OnDemandFIFO-OnDemand-100K,565166,28808160,797524,134218176,264838,7881628,0.0536501,0.368441%,63.5607%,170529,170527,276619252,276519880
OnDemandFIFO-OnDemand-1MB,582918,29133888,7998536,134218176,232007,6858544,0.0510596,3.38531%,54.223%,149842,149809,234698828,233698920
OnDemandFIFO-OnDemand-10MB,618137,29690176,79998100,134218176,148741,4383332,0.0472391,17.1692%,33.0669%,95021,95058,148129800,138129992
OnDemandFIFO-OnDemand-100MB,679394,30474848,418279680,134218176,54620,1598480,0.0419889,36.5045%,5.43964%,17219,0,52222352,0
