Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,773645,21227776,103546880,16777664,41105,986520,0.00329664,100%,0%,0,0,12943360,0
Eagerly-OnDemand-10K,564187,21227776,38710,16777664,1002641,24063384,0.00419004,0.0434194%,99.3634%,986759,986744,318076120,318072170
Eagerly-OnDemand-100K,384750,21227776,429602,16777664,703298,16879152,0.0161572,0.413142%,98.0335%,669457,669770,222647754,222581552
Eagerly-OnDemand-1MB,324066,21227776,4096466,16777664,578822,13891728,0.0298079,3.96112%,91.2741%,542329,542320,182593806,181818026
Eagerly-OnDemand-10MB,479951,21227776,24496794,16777664,450530,10812720,0.0149528,48.2742%,51.0808%,435615,442742,142763270,139910264
Eagerly-OnDemand-100MB,777979,21227776,103546880,16777664,40547,973128,0.00328848,100%,0%,0,0,12943360,0
Eagerly-Reactive-1,604196,21227776,790,16777664,1081968,25967232,0.0039504,0.00547552%,99.7488%,1062796,1062791,340290762,340290762
OnDemandFIFO-OnDemand-10K,567974,21227776,79632,16777664,1010322,24247728,0.004146,0.076335%,99.3343%,993443,993443,319512182,319502228
OnDemandFIFO-OnDemand-100K,512003,21227776,798848,16777664,907146,21771504,0.00412235,0.770806%,98.6277%,888710,888710,288061966,287962110
OnDemandFIFO-OnDemand-1MB,512027,21227776,7999856,16777664,846290,20310960,0.0041584,7.7074%,91.7219%,827894,827894,267709670,266709688
OnDemandFIFO-OnDemand-10MB,636172,21227776,79999824,16777664,271665,6519960,0.0036842,77.3856%,22.5737%,253164,253164,86272108,76272130
OnDemandFIFO-OnDemand-100MB,780123,21227776,103546880,16777664,40690,976560,0.00327867,100%,0%,0,0,12943360,0
