Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,546711,20612960,100511226,16777664,39604,950496,0.0507761,98.6722%,0.723277%,8262,0,12556260,0
Eagerly-OnDemand-10K,374064,19942656,46610,16777664,622555,14941320,0.0586435,11.1648%,68.8967%,571757,571749,195644764,195636074
Eagerly-OnDemand-100K,280711,19262464,396422,16777664,378385,9081240,0.0911769,30.4625%,46.2677%,324847,325396,119557020,119542010
Eagerly-OnDemand-1MB,321835,19550848,3294300,16777664,257806,6187344,0.082591,52.6789%,29.4552%,234412,239796,81789016,81774796
Eagerly-OnDemand-10MB,482214,20446944,72971036,16777664,92454,2218896,0.0563013,87.2794%,7.39104%,76593,63263,29099334,19992530
Eagerly-OnDemand-100MB,549056,20628768,100589278,16777664,39799,955176,0.0511784,99.1399%,0.725553%,8156,0,12577432,0
Eagerly-Reactive-1,405891,20122944,6320,16777664,825505,19812120,0.048707,1.85739%,87.9636%,767454,767449,258568896,258568896
OnDemandFIFO-OnDemand-10K,378145,19964736,79632,16777664,605001,14520024,0.0571942,13.7816%,66.6305%,561348,561348,189842056,189832102
OnDemandFIFO-OnDemand-100K,365934,19863520,798848,16777664,431028,10344672,0.0627664,33.5234%,48.4187%,399567,399567,135732270,135632414
OnDemandFIFO-OnDemand-1MB,399718,20061952,7999856,16777664,272306,6535344,0.061459,57.1381%,28.7229%,256850,256850,86070342,85070360
OnDemandFIFO-OnDemand-10MB,515307,20549504,79999824,16777664,60893,1461432,0.0533753,93.0733%,3.78282%,41328,41328,19213906,9213928
OnDemandFIFO-OnDemand-100MB,549368,20626208,100576638,16777664,39836,956064,0.0511033,98.0652%,0.720421%,8226,0,12565266,0
