Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,770926,32096096,441488684,16777664,57674,1687292,0.0376112,37.0377%,4.77741%,17091,0,55020420,0
Eagerly-OnDemand-10K,624822,29959680,47684,16777664,405802,12319432,0.0569491,0.013773%,86.8516%,259828,259833,469566188,469559636
Eagerly-OnDemand-100K,601595,30180736,503048,16777664,306245,9126608,0.0642908,0.189923%,64.1939%,186271,186242,323278956,323184680
Eagerly-OnDemand-1MB,524081,29071904,4808804,16777664,239476,7080144,0.0808506,2.00026%,54.5359%,139948,140197,242490612,241948980
Eagerly-OnDemand-10MB,634794,30476512,58458764,16777664,189633,5591828,0.0741981,13.3226%,39.0891%,117302,100274,189648732,179994360
Eagerly-OnDemand-100MB,772588,32129952,441855596,16777664,57513,1682544,0.0374315,37.084%,4.70969%,16886,0,55266120,0
Eagerly-Reactive-1,610016,29651840,2548,16777664,438271,13350184,0.0583274,0.00124818%,96.263%,280879,280879,513147180,513147180
OnDemandFIFO-OnDemand-10K,622073,29904384,77532,16777664,384265,11638636,0.0558459,0.0263271%,83.3801%,247217,247218,440479312,440469484
OnDemandFIFO-OnDemand-100K,660332,30741152,796796,16777664,315751,9398548,0.0504602,0.364739%,63.5648%,199538,199544,331039072,330939336
OnDemandFIFO-OnDemand-1MB,676085,30981344,7998900,16777664,276077,8161868,0.0484748,3.37226%,54.2408%,174237,174249,278233592,277233684
OnDemandFIFO-OnDemand-10MB,715511,31527232,79997008,16777664,175707,5175760,0.0438878,17.1797%,33.1596%,111571,111595,174766592,164767148
OnDemandFIFO-OnDemand-100MB,771068,32131488,441907648,16777664,57571,1684332,0.0374916,37.0789%,4.82172%,17239,0,55263936,0
