Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,554026,20675616,100820590,16777664,40063,961512,0.0466302,98.3224%,0.639545%,7465,0,12597814,0
Eagerly-OnDemand-10K,371338,20045568,42502,16777664,641875,15405000,0.0579535,11.4044%,67.9548%,562393,562406,202480160,202471470
Eagerly-OnDemand-100K,217708,18542656,486482,16777664,315671,7576104,0.133074,30.736%,38.903%,249256,249202,99499552,99451204
Eagerly-OnDemand-1MB,277100,19241600,3145306,16777664,237222,5693328,0.107046,53.0181%,24.5688%,200328,195611,74702242,73781576
Eagerly-OnDemand-10MB,462787,20444672,72574140,16777664,91745,2201880,0.0581853,86.7498%,7.19003%,74654,63260,29042770,19990318
Eagerly-OnDemand-100MB,558498,20699648,100939248,16777664,39732,953568,0.0465759,98.517%,0.615826%,7337,0,12617248,0
Eagerly-Reactive-1,429303,20321056,3160,16777664,892796,21427104,0.0436279,1.97092%,87.8318%,807443,807439,279625082,279623502
OnDemandFIFO-OnDemand-10K,373312,20034944,79632,16777664,621585,14918040,0.0557687,13.7678%,65.8382%,551066,551066,195633546,195623592
OnDemandFIFO-OnDemand-100K,344156,19816576,798848,16777664,423581,10165944,0.0628361,33.564%,47.414%,375143,375142,133762484,133662628
OnDemandFIFO-OnDemand-1MB,394787,20126816,7999856,16777664,278636,6687264,0.0598234,57.1485%,28.5394%,253096,253096,88003314,87003332
OnDemandFIFO-OnDemand-10MB,518679,20612736,79999824,16777664,62125,1491000,0.0496333,93.3252%,3.62274%,40740,40740,19664364,9664386
OnDemandFIFO-OnDemand-100MB,558100,20691744,100900222,16777664,40008,960192,0.0468472,98.6101%,0.625366%,7320,0,12606662,0
