Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,802551,21227776,103546880,16777664,41042,985008,0.00222161,100%,0%,0,0,12943360,0
Eagerly-OnDemand-10K,583300,21227776,43450,16777664,1049245,25181880,0.00436165,0.0438445%,99.3718%,1017889,1017909,331734272,331731112
Eagerly-OnDemand-100K,262230,21227648,512236,16777664,506536,12156864,0.0346909,0.408901%,96.1153%,458055,458144,159956356,159904216
Eagerly-OnDemand-1MB,226281,21227328,2644604,16777664,425515,10212360,0.0562344,4.07554%,85.456%,382371,379310,134555328,133849858
Eagerly-OnDemand-10MB,348052,21227776,41189020,16777664,349034,8376816,0.0182121,48.411%,51.7063%,316278,316257,109778084,99937370
Eagerly-OnDemand-100MB,814499,21227776,103546880,16777664,41227,989448,0.00233751,100%,0%,0,0,12943360,0
Eagerly-Reactive-1,655828,21227776,2370,16777664,1176807,28243368,0.00396942,0.00591167%,99.7818%,1145738,1145743,371624690,371624690
OnDemandFIFO-OnDemand-10K,571937,21227776,79632,16777664,1036926,24886224,0.00400229,0.0776312%,99.3399%,999070,999070,327242648,327232694
OnDemandFIFO-OnDemand-100K,449778,21227776,798848,16777664,816967,19607208,0.00505457,0.768581%,98.5354%,780556,780556,257576182,257476326
OnDemandFIFO-OnDemand-1MB,457652,21227776,7999856,16777664,769231,18461544,0.00500019,7.73359%,91.6759%,738954,738953,243351916,242351934
OnDemandFIFO-OnDemand-10MB,632760,21227776,79999824,16777664,273234,6557616,0.00311558,77.3114%,22.6402%,251351,251351,86277638,76277660
OnDemandFIFO-OnDemand-100MB,816281,21227776,103546880,16777664,41067,985608,0.00224104,100%,0%,0,0,12943360,0
