Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
NoMoveOut-OnDemand-0-NoOP,676978,30461312,425145532,16777664,54853,1606704,0.0423902,36.5078%,5.46512%,17174,0,53224520,0,0,0,0,0,-nan%
NoMoveOut-OnDemand-0-WriteThrough,604598,29340672,408721608,16777664,52375,1533276,0.0444988,36.1284%,5.96078%,16571,0,51156088,0,1264338,28589452,31237405,1264338,96.1099%
NoMoveOut-OnDemand-0-NonTemporal,510244,27724672,384880740,16777664,49171,1440228,0.0428186,35.5964%,6.72681%,15655,0,48124932,0,27524479,24216328,0,0,-nan%
Eagerly-OnDemand-80K-NoOP,528875,27959136,30256,16777664,338086,10265852,0.0601008,0.0131568%,86.6624%,220242,220240,397043108,397042000,0,0,0,0,-nan%
Eagerly-OnDemand-80K-WriteThrough,514799,27662528,56832,16777664,329295,9999492,0.0617264,0.0134053%,86.3459%,214313,214320,385666724,385659340,1352293,709209,81477,1352293,5.68271%
Eagerly-OnDemand-80K-NonTemporal,513283,27589760,45728,16777664,326159,9905352,0.0616231,0.0136053%,86.4558%,212924,212920,383511368,383507680,1423068,703751,0,0,-nan%
Eagerly-OnDemand-800K-NoOP,533484,28405952,319872,16777664,262472,7823620,0.0615908,0.184805%,64.6835%,165313,165373,281373268,281328932,0,0,0,0,-nan%
Eagerly-OnDemand-800K-WriteThrough,521697,28137408,428092,16777664,256637,7650212,0.064106,0.182978%,64.2569%,162038,161992,274904076,274847584,1212534,872977,259463,1212534,17.6266%
Eagerly-OnDemand-800K-NonTemporal,521008,28117248,382204,16777664,254751,7593288,0.0633787,0.182966%,64.4207%,160881,161020,273763660,273739316,1461417,865880,0,0,-nan%
Eagerly-OnDemand-8MB-NoOP,508764,28117952,5191036,16777664,220126,6508664,0.0709665,1.92665%,55.8901%,136285,136138,226214476,225931300,0,0,0,0,-nan%
Eagerly-OnDemand-8MB-WriteThrough,496289,27793248,3609464,16777664,213481,6312380,0.0735347,1.92512%,55.4687%,132467,134102,219088912,218933300,1105524,2145817,1761146,1105524,61.4353%
Eagerly-OnDemand-8MB-NonTemporal,493133,27695936,2659084,16777664,211219,6245296,0.0757181,1.89854%,55.8001%,132070,132089,217685464,216930680,2858995,2150589,0,0,-nan%
Eagerly-OnDemand-80MB-NoOP,573651,29101952,15754224,16777664,169222,4990532,0.0548774,12.7679%,39.096%,106543,118134,171729804,169994592,0,0,0,0,-nan%
Eagerly-OnDemand-80MB-WriteThrough,551153,28606816,31816444,16777664,160966,4746700,0.0559457,12.3894%,40.0724%,104165,98586,163679376,159992880,1184593,10950871,11729100,1184593,90.8268%
Eagerly-OnDemand-80MB-NonTemporal,519084,27907776,33255424,16777664,150766,4445716,0.0550802,12.5137%,39.2189%,96682,98438,152981208,149994440,12231120,10372286,0,0,-nan%
Eagerly-OnDemand-800MB-NoOP,676309,30438304,424690240,16777664,54649,1599140,0.0426549,36.4822%,5.36655%,17047,0,52989356,0,0,0,0,0,-nan%
Eagerly-OnDemand-800MB-WriteThrough,603358,29311616,408394024,16777664,51990,1522580,0.0447965,36.0982%,5.91756%,16760,0,51073776,0,1256271,28290134,30912566,1256271,96.0948%
Eagerly-OnDemand-800MB-NonTemporal,509646,27709856,384710324,16777664,49271,1443196,0.0430356,35.5669%,6.62248%,15966,0,48202900,0,27614643,24288903,0,0,-nan%
Eagerly-Reactive-1-NoOP,520046,27718592,4804,16777664,367582,11200120,0.0615174,0.00106469%,95.7458%,239926,239927,437814780,437814044,0,0,0,0,-nan%
Eagerly-Reactive-1-WriteThrough,505949,27418528,6624,16777664,357092,10879796,0.0634065,0.0013002%,95.6062%,233141,233142,425479780,425474628,1398932,685320,65297,1398932,4.45948%
Eagerly-Reactive-1-NonTemporal,505862,27420512,1852,16777664,356149,10851868,0.0632898,0.00124339%,95.7079%,232835,232835,425086516,425086516,1464235,685933,0,0,-nan%
OnDemandFIFO-OnDemand-80K-NoOP,534678,28094784,79072,16777664,327187,9912300,0.0591768,0.0265808%,83.2002%,212112,212112,379994384,379984768,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-80K-WriteThrough,522301,27837536,79016,16777664,319613,9681908,0.0607861,0.0265142%,82.9006%,207505,207500,370278788,370268808,1339928,729601,96726,1339928,6.73273%
OnDemandFIFO-OnDemand-80K-NonTemporal,520327,27809888,78604,16777664,319181,9669620,0.0602271,0.0258654%,83.0722%,207484,207484,369915132,369905168,1430022,725434,0,0,-nan%
OnDemandFIFO-OnDemand-800K-NoOP,564714,28815200,796128,16777664,264518,7873156,0.0531307,0.363245%,63.457%,171367,171360,282205224,282105804,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-800K-WriteThrough,552491,28512384,796932,16777664,258251,7687248,0.0540689,0.358328%,63.3744%,167401,167405,275525612,275425836,1238665,1045816,429530,1238665,25.7482%
OnDemandFIFO-OnDemand-800K-NonTemporal,550180,28511936,796104,16777664,258484,7693404,0.0543737,0.361976%,63.4355%,166996,166999,274646476,274547104,1669098,1047784,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-NoOP,581220,29099968,7997596,16777664,231735,6850672,0.0510796,3.33974%,54.0694%,148767,148755,238179308,237179436,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-WriteThrough,565574,28766336,7997696,16777664,224537,6638332,0.0529939,3.30691%,54.0103%,145181,145168,230899892,229899980,1213972,3527097,3231798,1213972,72.6938%
OnDemandFIFO-OnDemand-8MB-NonTemporal,556806,28625216,7997820,16777664,221181,6538816,0.0519792,3.31779%,54.1183%,142795,142811,227657420,226657636,4400520,3492598,0,0,-nan%
OnDemandFIFO-OnDemand-80MB-NoOP,617947,29702656,79998516,16777664,150424,4431760,0.0470705,16.9723%,33.2946%,96459,96434,151726548,141726636,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-80MB-WriteThrough,580966,29007712,79998236,16777664,141731,4174904,0.0488877,17.0477%,33.3796%,91333,91314,142856852,132857184,1228467,14981664,16166843,1228467,92.9379%
OnDemandFIFO-OnDemand-80MB-NonTemporal,539366,28192800,79997532,16777664,130594,3847208,0.0473177,16.9667%,33.4968%,84185,84218,132494064,122494508,16226463,13981023,0,0,-nan%
OnDemandFIFO-OnDemand-800MB-NoOP,680723,30543392,426394188,16777664,54790,1604436,0.0425632,36.5442%,5.46243%,17076,0,53260832,0,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-800MB-WriteThrough,604357,29305664,408267320,16777664,52217,1528548,0.044788,36.1161%,5.89935%,16541,0,50970900,0,1263178,28573586,31219080,1263178,96.1112%
OnDemandFIFO-OnDemand-800MB-NonTemporal,508336,27710080,384747508,16777664,49126,1439008,0.042862,35.608%,6.61261%,15754,0,48187552,0,27479165,24181571,0,0,-nan%
