Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
NoMoveOut-OnDemand-0-NoOP,549406,20628896,105683070,16777664,39713,953112,0.0508763,98.9077%,0.706348%,8262,0,13209616,0,0,0,0,0,-nan%
NoMoveOut-OnDemand-0-WriteThrough,485965,20395264,104471104,16777664,39276,942624,0.0555894,98.521%,0.920154%,9429,0,13083954,0,2560975,16870265,34310408,2560975,93.0543%
NoMoveOut-OnDemand-0-NonTemporal,393967,19894880,101875362,16777664,38659,927816,0.0582132,97.6622%,1.34959%,11106,0,12737014,0,30468984,13871377,0,0,-nan%
Eagerly-OnDemand-80K-NoOP,374105,19953280,42330,16777664,630325,15127800,0.0585045,10.8254%,69.2491%,573988,573971,206919996,206916842,0,0,0,0,-nan%
Eagerly-OnDemand-80K-WriteThrough,362920,19858592,39674,16777664,605423,14530152,0.0603676,10.8563%,68.9562%,558500,558479,200622454,200620794,2113012,2129084,4101244,2113012,65.9973%
Eagerly-OnDemand-80K-NonTemporal,357242,19784000,57934,16777664,592783,14226792,0.0604614,10.7878%,68.7509%,547242,547287,195475624,195467490,6112462,2095725,0,0,-nan%
Eagerly-OnDemand-800K-NoOP,281859,19269344,336482,16777664,379422,9106128,0.0885421,29.9269%,46.4078%,324784,324876,126200338,126163154,0,0,0,0,-nan%
Eagerly-OnDemand-800K-WriteThrough,275852,19153952,318720,16777664,372688,8944512,0.0933066,30.1348%,46.4799%,320148,320182,123296832,123282390,1714344,3908022,8276976,1714344,82.8417%
Eagerly-OnDemand-800K-NonTemporal,269274,19013216,446374,16777664,357626,8583024,0.089195,29.8531%,47.7049%,314339,314240,118945142,118884386,9554908,3746987,0,0,-nan%
Eagerly-OnDemand-8MB-NoOP,318656,19531392,4152158,16777664,261049,6265176,0.085873,52.2863%,30.2565%,235069,234200,86511232,85757426,0,0,0,0,-nan%
Eagerly-OnDemand-8MB-WriteThrough,306144,19352000,4733988,16777664,248422,5962128,0.0880762,51.9484%,29.9811%,225187,222179,82518932,81772264,1810506,6833065,14488221,1810506,88.8917%
Eagerly-OnDemand-8MB-NonTemporal,287929,19101152,3218574,16777664,231407,5553768,0.086618,51.9744%,29.8187%,211223,210226,76662120,75795434,15155604,6342653,0,0,-nan%
Eagerly-OnDemand-80MB-NoOP,459747,20389856,23822494,16777664,99340,2384160,0.0605062,85.702%,8.63923%,88208,120428,32931246,29986406,0,0,0,0,-nan%
Eagerly-OnDemand-80MB-WriteThrough,437202,20224640,76480184,16777664,89223,2141352,0.0609522,87.0688%,7.72303%,74170,60230,29552814,19994036,2396251,14446073,29553234,2396251,92.4999%
Eagerly-OnDemand-80MB-NonTemporal,367075,19740512,53823176,16777664,80750,1938000,0.0687574,84.7283%,8.99%,70833,60216,26723178,19990882,26472481,11856000,0,0,-nan%
Eagerly-OnDemand-800MB-NoOP,547271,20623072,105652858,16777664,39823,955752,0.0510801,98.0705%,0.70748%,8209,0,13200652,0,0,0,0,0,-nan%
Eagerly-OnDemand-800MB-WriteThrough,485923,20399680,104494012,16777664,39246,941904,0.0557584,98.002%,0.906869%,9161,0,13066026,0,2581089,16947694,34476866,2581089,93.035%
Eagerly-OnDemand-800MB-NonTemporal,392380,19887296,101836020,16777664,38547,925128,0.0586968,98.2396%,1.36436%,11093,0,12747804,0,30188629,13733389,0,0,-nan%
Eagerly-Reactive-1-NoOP,405209,20113728,5810,16777664,822480,19739520,0.0488082,1.86188%,87.9691%,764293,764288,270995996,270991016,0,0,0,0,-nan%
Eagerly-Reactive-1-WriteThrough,392408,20021408,9130,16777664,798203,19156872,0.0506647,1.92922%,87.2065%,743972,743957,263146852,263146022,2394978,985607,1634234,2394978,40.5596%
Eagerly-Reactive-1-NonTemporal,390829,20010624,3320,16777664,797356,19136544,0.0513606,1.91094%,87.1095%,741926,741945,262333286,262332456,4007923,975669,0,0,-nan%
OnDemandFIFO-OnDemand-80K-NoOP,380672,19989376,79680,16777664,608515,14604360,0.056691,13.4621%,66.7677%,565666,565666,201584424,201574464,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-80K-WriteThrough,368355,19866272,79680,16777664,589423,14146152,0.0589787,13.4628%,66.5289%,546436,546436,193724822,193714862,2130999,2540378,4951895,2130999,69.9134%
OnDemandFIFO-OnDemand-80K-NonTemporal,359617,19798944,79680,16777664,567527,13620648,0.0597728,13.4639%,66.3584%,530865,530865,188237360,188227400,6885654,2465922,0,0,-nan%
OnDemandFIFO-OnDemand-800K-NoOP,366140,19865504,799456,16777664,432270,10374480,0.0619273,33.0879%,48.8482%,402338,402338,143788370,143688438,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-800K-WriteThrough,352057,19735616,799456,16777664,418123,10034952,0.0644851,33.0625%,48.4253%,386652,386652,137838432,137738500,2032016,5053943,10299284,2032016,83.5215%
OnDemandFIFO-OnDemand-800K-NonTemporal,334755,19555232,799456,16777664,392773,9426552,0.0647195,33.1109%,48.556%,365911,365911,129994268,129894336,11700635,4788980,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-NoOP,398102,20057984,7999872,16777664,276639,6639336,0.0617341,56.5641%,29.348%,260418,260418,91541032,90541048,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-WriteThrough,375679,19877312,7999872,16777664,258831,6211944,0.0641899,56.7278%,29.1995%,246665,246665,86155660,85155676,2127526,8722738,17911614,2127526,89.3831%
OnDemandFIFO-OnDemand-8MB-NonTemporal,343376,19580800,7999872,16777664,235351,5648424,0.065704,56.6186%,29.2226%,223950,223950,78159440,77159456,18006785,7811440,0,0,-nan%
OnDemandFIFO-OnDemand-80MB-NoOP,508830,20530048,79998720,16777664,66421,1594104,0.053851,92.8013%,4.41903%,47769,47769,21949516,11949676,0,0,0,0,-nan%
