Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,548667,20625504,100573162,268435776,39972,959328,0.0512817,98.7254%,0.712309%,8239,0,12585174,0
Eagerly-OnDemand-10K,374638,19952096,48190,268435776,622288,14934912,0.0585521,11.2253%,68.8342%,574247,574262,196325586,196320372
Eagerly-OnDemand-100K,281224,19251808,408430,268435776,376140,9027360,0.0895687,30.4237%,46.341%,321953,321699,118864032,118768600
Eagerly-OnDemand-1MB,322112,19552288,3654540,268435776,259959,6239016,0.0820294,52.3791%,29.2193%,235622,233475,82187334,81777324
Eagerly-OnDemand-10MB,484127,20450688,73202822,268435776,91823,2203752,0.0578153,87.3292%,7.37513%,77034,63266,29157478,19991266
Eagerly-OnDemand-100MB,551579,20635904,100624512,268435776,39833,955992,0.0508757,98.8315%,0.712348%,8119,0,12575062,0
Eagerly-Reactive-1,406566,20118976,3950,268435776,827886,19869264,0.0490641,1.8761%,87.7057%,770943,770947,259865760,259865760
OnDemandFIFO-OnDemand-10K,379235,19956256,79632,268435776,601935,14446440,0.0575359,13.8005%,66.3052%,559168,559168,189693062,189683108
OnDemandFIFO-OnDemand-100K,366501,19872096,798848,268435776,429087,10298088,0.062398,33.534%,48.2976%,399661,399661,135230304,135130448
OnDemandFIFO-OnDemand-1MB,399600,20055648,7999856,268435776,270231,6485544,0.0615923,57.211%,28.8691%,256745,256745,85687508,84687526
OnDemandFIFO-OnDemand-10MB,515113,20551040,79999824,268435776,61185,1468440,0.0532793,93.8663%,3.7856%,41120,41120,19264466,9264488
OnDemandFIFO-OnDemand-100MB,551138,20635008,100620088,268435776,39740,953760,0.0508514,98.8775%,0.729645%,8177,0,12580908,0
