Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,773767,21227776,103546880,268435776,40901,981624,0.00330188,100%,0%,0,0,12943360,0
Eagerly-OnDemand-10K,568152,21227776,43450,268435776,1014711,24353064,0.00432336,0.0410522%,99.3543%,991363,991355,319607614,319601294
Eagerly-OnDemand-100K,387702,21227776,265440,268435776,712055,17089320,0.0146663,0.415786%,98.1799%,677457,677280,224930064,224846798
Eagerly-OnDemand-1MB,325863,21227744,4085564,268435776,581221,13949304,0.0228123,3.945%,92.7362%,546816,543780,183704072,182820378
Eagerly-OnDemand-10MB,477246,21227776,23016176,268435776,451662,10839888,0.0174507,48.0311%,50.1364%,432187,442745,142793448,139908684
Eagerly-OnDemand-100MB,783403,21227776,103546880,268435776,40970,983280,0.00329021,100%,0%,0,0,12943360,0
Eagerly-Reactive-1,608284,21227776,7110,268435776,1080377,25929048,0.00390084,0.00542737%,99.7664%,1069694,1069704,342224524,342224524
OnDemandFIFO-OnDemand-10K,567704,21227776,79632,268435776,1008410,24201840,0.00403929,0.0761471%,99.3161%,991578,991578,319348178,319338224
OnDemandFIFO-OnDemand-100K,514327,21227776,798848,268435776,909762,21834288,0.00415607,0.775625%,98.6353%,894743,894743,287960372,287860516
OnDemandFIFO-OnDemand-1MB,518091,21227776,7999856,268435776,853759,20490216,0.00409647,7.74191%,91.7037%,835420,835420,270055496,269055514
OnDemandFIFO-OnDemand-10MB,638117,21227776,79999824,268435776,273849,6572376,0.00371634,77.0449%,22.5974%,254760,254760,86762382,76762404
OnDemandFIFO-OnDemand-100MB,784718,21227776,103546880,268435776,40602,974448,0.00333434,100%,0%,0,0,12943360,0
