Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,634543,37562464,518832132,268435776,68414,1998836,0.0425806,37.9851%,3.05128%,17982,0,64761060,0
Eagerly-OnDemand-10K,402000,32701792,34944,268435776,521631,15843924,0.0720156,0.0135793%,85.8751%,334793,334785,604196320,604190860
Eagerly-OnDemand-100K,393242,33144544,426608,268435776,402152,11986320,0.0798604,0.184757%,63.3619%,243797,243798,423682532,423679984
Eagerly-OnDemand-1MB,358815,32390720,6192368,268435776,322564,9538352,0.105187,1.90514%,54.0768%,191574,191360,326926600,325931424
Eagerly-OnDemand-10MB,448785,34378400,70525364,268435776,268577,7919860,0.0675796,12.7088%,38.4485%,166220,160106,268897356,259992460
Eagerly-OnDemand-100MB,633510,37541920,518485968,268435776,68418,1998600,0.0426396,38.0147%,3.06808%,18041,0,64892464,0
Eagerly-Reactive-1,388630,32224384,6188,268435776,566881,17286600,0.0747375,0.00142594%,96.757%,366688,366688,668958836,668954104
OnDemandFIFO-OnDemand-10K,409929,32924704,77896,268435776,509592,15440788,0.0701636,0.0255209%,82.1932%,326175,326173,582101884,582092056
OnDemandFIFO-OnDemand-100K,440303,33931808,796796,268435776,418408,12454220,0.0613178,0.365624%,62.9841%,265446,265454,439864516,439764780
OnDemandFIFO-OnDemand-1MB,458359,34394912,7997444,268435776,372606,11014560,0.0576521,3.34965%,53.734%,235638,235636,377350792,376350884
OnDemandFIFO-OnDemand-10MB,513692,35623808,79997372,268435776,250405,7377092,0.0515899,17.0217%,32.8774%,159101,159139,249901652,239902208
OnDemandFIFO-OnDemand-100MB,633008,37495264,517801648,268435776,68284,1995216,0.0426874,38.0317%,3.07187%,17921,0,64754144,0
