28,Motor-RDMA(40Thd),P50(us),P99(us)
0/0,24.8235,84.338,17016.7
15-Oct,25.2884,80.0488,16606.5
20/30,24.1646,90.3597,16847.6
30/45,25.335,77.6321,17224
40/60,25.4294,77.9524,16925.3
50/75,23.7346,88.3572,16363.9
60/90,23.8412,91.1117,16619
,,,
,,,
,,,
32,Motor-RDMA(40Thd),P50(us),P99(us)
0/0,24.211,97.8296,17880.5
15-Oct,25.2363,88.3269,18490.9
20/30,25.8313,84.0733,18427
30/45,24.5722,94.4964,18472.6
40/60,25.4283,87.1257,18644.9
50/75,24.882,93.9864,18804.5
60/90,24.9631,89.4198,18987.7
,,,
,,,
,,,
36,Motor-RDMA(40Thd),P50(us),P99(us)
0/0,26.036,94.9023,20418.9
15-Oct,24.7712,112.623,19854.4
20/30,25.3261,101.434,20178
30/45,24.0241,113.142,19703.2
40/60,25.3177,97.4886,20391.1
50/75,25.9642,95.1743,20359.9
60/90,24.6706,105.445,20226.9
,,,
,,,
,,,
40,Motor-RDMA(40Thd),P50(us),P99(us)
0/0,24.8789,121.289,21223.6
15-Oct,24.8756,117.101,21650.7
20/30,26.0518,108.021,21111.1
30/45,25.5518,117.392,21140.2
40/60,25.5405,110.084,21613
50/75,25.3568,123.279,21518.3
60/90,24.8928,132.128,20960
