Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1557070.0,1526040.0,1033990.0,1024130.0,1035770.0,1027510.0
10,1112820.0,1123630.0,618847.0,668141.0,353812.0,416259.0
20,895551.0,916407.0,450377.0,507344.0,217863.0,266404.0
30,755989.0,778914.0,356927.0,409956.0,157517.0,195653.0
40,654149.0,679561.0,295792.0,343688.0,123173.0,155183.0
50,582906.0,605328.0,253127.0,297458.0,101489.0,128174.0
60,524100.0,547693.0,220345.0,261544.0,86802.1,109010.0
70,476325.0,499073.0,196370.0,233990.0,75495.2,95011.7
80,437174.0,460679.0,176599.0,211772.0,66785.9,84571.7
90,405055.0,426268.0,160515.0,193634.0,60113.6,75587.1
100,377711.0,399488.0,147408.0,178044.0,54668.6,68684.5
