Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,392437.0,389148.0,265599.0,267658.0,265582.0,266852.0
10,285767.0,279290.0,183988.0,182058.0,148399.0,145840.0
20,229294.0,223360.0,145061.0,142973.0,106163.0,103632.0
30,192149.0,186062.0,120940.0,118334.0,83810.6,80948.3
40,164778.0,159784.0,103763.0,101608.0,68051.4,64847.4
50,143896.0,139814.0,90818.7,88950.2,57877.4,54662.0
60,127601.0,124136.0,81129.0,79309.9,50629.6,48496.7
70,114835.0,111563.0,73265.6,71469.6,44943.7,42640.6
80,104163.0,101273.0,66713.1,64981.7,39523.1,37942.1
90,95281.1,92453.6,61313.3,59871.5,36076.1,34346.7
100,87702.3,85427.4,56777.1,55366.0,32667.1,31521.8
