Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,2596430.0,2441490.0,1702030.0,1677940.0,1693090.0,1652680.0
10,1623970.0,1533010.0,718367.0,1074410.0,572734.0,461226.0
20,1247880.0,1186360.0,541776.0,795217.0,323784.0,312562.0
30,726973.0,721704.0,547778.0,631387.0,200807.0,151470.0
40,483455.0,476523.0,576105.0,523726.0,157711.0,130562.0
50,348654.0,350096.0,495160.0,447060.0,111070.0,114022.0
60,286832.0,271542.0,433461.0,312291.0,136264.0,84961.9
70,221817.0,218512.0,384949.0,347092.0,151476.0,93295.8
80,172215.0,182687.0,255516.0,252871.0,137097.0,76948.4
90,142402.0,154951.0,316083.0,282534.0,97182.8,91260.2
100,121499.0,132773.0,289805.0,188552.0,101213.0,75088.7
