Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,4837000.0,5874970.0,3998460.0,3966760.0,4884580.0,3499980.0,3546330.0
10,3383400.0,3792850.0,1450250.0,1087770.0,2122710.0,1227330.0,730366.0
20,3262890.0,3300220.0,1181730.0,477113.0,2345790.0,787913.0,347741.0
30,3164910.0,2675630.0,679721.0,324190.0,1879400.0,776349.0,337943.0
40,3145080.0,2378030.0,586329.0,306802.0,1612230.0,606717.0,200576.0
50,3279420.0,2090620.0,444639.0,263074.0,1346360.0,675327.0,213214.0
60,3192260.0,1857330.0,335120.0,152800.0,1403230.0,448132.0,167028.0
70,3126080.0,1673150.0,544617.0,163104.0,1270560.0,398874.0,139653.0
80,3086580.0,1527250.0,412894.0,107331.0,1113580.0,329919.0,84867.2
90,3135340.0,1408350.0,469240.0,150920.0,1041500.0,409374.0,73508.2
100,2885510.0,1313510.0,428625.0,141212.0,959749.0,359275.0,62134.2
