Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,4955830.0,5773760.0,3903150.0,3989640.0,5100260.0,3531800.0,3514190.0
10,2819990.0,3017900.0,1509330.0,1069000.0,2548580.0,1353060.0,810351.0
20,2876750.0,2579540.0,1064600.0,583437.0,2037260.0,878449.0,456772.0
30,2859800.0,2095190.0,815390.0,457650.0,1616870.0,886285.0,332184.0
40,2857690.0,2030440.0,632722.0,311490.0,1363610.0,698550.0,250371.0
50,2685850.0,1747990.0,475229.0,270194.0,1152410.0,575325.0,224953.0
60,2800030.0,1541070.0,427416.0,238694.0,1104520.0,368229.0,204115.0
70,2807690.0,1376960.0,501930.0,196736.0,995129.0,325156.0,148036.0
80,2710880.0,1249050.0,266873.0,144993.0,753654.0,289176.0,128081.0
90,2739070.0,1140460.0,223085.0,161898.0,699405.0,257198.0,116371.0
100,2725790.0,1053370.0,207331.0,159762.0,712692.0,311268.0,104014.0
