Remote_Ratio,0,10000000,50000000,100000000,150000000,200000000,Sundial-CXL-improved,TwoPL-CXL-improved
0,1509670.0,1517190.0,1515370.0,1513510.0,1513480.0,1515100.0,1717650.0,1484880.0
10,1096650.0,884360.0,878026.0,856907.0,864390.0,861960.0,1116740.0,898076.0
20,1048210.0,708312.0,705327.0,711188.0,706822.0,705194.0,901811.0,702697.0
30,1016340.0,602359.0,602243.0,593930.0,615088.0,608369.0,768772.0,600514.0
40,986253.0,518256.0,537474.0,534322.0,538108.0,538717.0,659132.0,533051.0
50,951036.0,459192.0,479143.0,483810.0,493132.0,479707.0,600779.0,487021.0
60,939485.0,424182.0,435086.0,439073.0,442607.0,436534.0,536906.0,441110.0
70,912921.0,384772.0,392543.0,408511.0,401771.0,407520.0,512834.0,408493.0
80,893453.0,356661.0,369482.0,365785.0,380140.0,385318.0,461275.0,372472.0
90,879642.0,334848.0,346706.0,343777.0,349893.0,357901.0,417473.0,346177.0
100,866411.0,315671.0,322293.0,332458.0,328685.0,331850.0,409094.0,337547.0
