Remote_Ratio,Tigon,Tigon-ReadCXL,Sundial-CXL-improved,TwoPL-CXL-improved
0,2399100.0,2474500.0,2823360.0,2553930.0
10,1465800.0,670043.0,1703180.0,1607800.0
20,1369920.0,664157.0,1085940.0,1175000.0
30,1257070.0,636520.0,939321.0,926482.0
40,1173920.0,632114.0,870802.0,767792.0
50,1139600.0,609344.0,744885.0,656682.0
60,1037260.0,599693.0,569167.0,566169.0
70,1002650.0,588337.0,564660.0,484358.0
80,922875.0,584180.0,472976.0,389521.0
90,891605.0,561815.0,462747.0,368957.0
100,845181.0,559442.0,430239.0,335572.0
