Remote_Ratio,Tigon-200MB,Tigon-150MB,Tigon-100MB,Tigon-50MB,Tigon-10MB
0,466566.0,438596.0,463358.0,467483.0,467484.0
10,337806.0,328349.0,328473.0,319361.0,327580.0
20,325022.0,315158.0,315031.0,283754.0,266921.0
30,315464.0,305909.0,305204.0,257134.0,231087.0
40,305945.0,297890.0,296357.0,229895.0,202456.0
50,297072.0,290795.0,289485.0,216987.0,180175.0
60,289939.0,284474.0,283809.0,201073.0,161579.0
70,283129.0,277888.0,277210.0,189605.0,147383.0
80,277104.0,272123.0,271777.0,177480.0,134740.0
90,272446.0,266257.0,266922.0,166970.0,124370.0
100,267398.0,262128.0,261248.0,160269.0,115859.0
