Remote_Ratio,0/0,10/15,20/30,30/45,40/60,50/75,60/90
Tigon-no-logging
Tigon-1ms,5485.0,4067.0,4418.0,4667.0,4853.0,5002.0,5198.0
Tigon-10ms,3988.0,3597.0,3487.0,3436.0,3695.0,3513.0,3340.0
Tigon-20ms,4202.0,3756.0,4042.0,3745.0,3903.0,4211.0,4444.0
Tigon-30ms,4564.0,4267.0,4283.0,4533.0,4592.0,4514.0,4177.0
Tigon-40ms,4569.0,4598.0,4300.0,5007.0,4846.0,4209.0,4306.0
Tigon-50ms,4854.0,4765.0,5150.0,5330.0,5188.0,4813.0,4966.0
Remote_Ratio,0/0,10/15,20/30,30/45,40/60,50/75,60/90
Tigon-no-logging
Tigon-1ms,19210.0,17420.0,17685.0,18390.0,19005.0,19498.0,18603.0
Tigon-10ms,14762.0,13977.0,13011.0,13591.0,14173.0,13107.0,13326.0
Tigon-20ms,14204.0,13173.0,13625.0,12846.0,13111.0,13579.0,13656.0
Tigon-30ms,13905.0,13114.0,12894.0,13485.0,13984.0,13443.0,13547.0
Tigon-40ms,13574.0,13513.0,12663.0,13668.0,13577.0,12838.0,13089.0
Tigon-50ms,13226.0,13104.0,13695.0,13493.0,13455.0,12443.0,13253.0
