Remote_Ratio,0,10,20,30,40,50,60,70,80,90,100
Tigon-no-logging
Tigon-1ms,3457.0,3983.0,5036.0,5385.0,4990.0,4989.0,4686.0,4244.0,4786.0,4750.0,4469.0
Tigon-10ms,3950.0,3611.0,3626.0,4121.0,3511.0,3790.0,3907.0,3414.0,3526.0,3818.0,3618.0
Tigon-20ms,4054.0,3771.0,3974.0,3669.0,3838.0,3589.0,3683.0,3825.0,3892.0,3623.0,3651.0
Tigon-30ms,5208.0,4301.0,4249.0,4193.0,4107.0,4071.0,4370.0,4374.0,3937.0,3897.0,4177.0
Tigon-40ms,5454.0,4657.0,4528.0,4614.0,4374.0,4706.0,4562.0,4606.0,4304.0,4475.0,4444.0
Tigon-50ms,6140.0,5587.0,5191.0,5249.0,5256.0,4791.0,4870.0,4554.0,5032.0,5020.0,5044.0
Remote_Ratio,0,10,20,30,40,50,60,70,80,90,100
Tigon-no-logging
Tigon-1ms,16502.0,17413.0,18744.0,19264.0,17601.0,17797.0,17709.0,18216.0,18023.0,17923.0,17800.0
Tigon-10ms,14441.0,13495.0,14064.0,14464.0,12989.0,13613.0,14284.0,12861.0,13197.0,14153.0,13769.0
Tigon-20ms,13482.0,12731.0,13403.0,12511.0,13036.0,12609.0,13442.0,13327.0,12951.0,12588.0,12963.0
Tigon-30ms,15315.0,13970.0,13707.0,13221.0,13468.0,13204.0,13307.0,13181.0,12960.0,12665.0,13273.0
Tigon-40ms,16042.0,13220.0,13404.0,13886.0,13228.0,13513.0,13410.0,13334.0,13514.0,12960.0,13399.0
Tigon-50ms,17631.0,14856.0,14269.0,15171.0,14201.0,13935.0,13945.0,13649.0,13797.0,13765.0,13244.0
