Remote_Ratio,Tigon-no-logging,Tigon-1ms,Tigon-10ms,Tigon-20ms,Tigon-30ms,Tigon-40ms,Tigon-50ms
0,537039.0,453264.0,483396.0,494302.0,496480.0,500701.0,501064.0
10,405400.0,346361.0,369120.0,377442.0,381263.0,382972.0,384457.0
20,378212.0,323420.0,345110.0,352081.0,356457.0,357896.0,358556.0
30,356470.0,306789.0,325204.0,331268.0,334518.0,336821.0,337820.0
40,336667.0,289646.0,308199.0,314878.0,316652.0,318849.0,320038.0
50,317898.0,275395.0,293730.0,299171.0,302061.0,303649.0,304684.0
60,305491.0,263912.0,280904.0,286367.0,289180.0,290700.0,291045.0
70,293844.0,254165.0,270473.0,274479.0,277811.0,278433.0,279843.0
80,283182.0,244717.0,260306.0,265764.0,268167.0,270127.0,269732.0
90,274169.0,236737.0,252257.0,257273.0,258944.0,260640.0,261414.0
100,264942.0,230402.0,245346.0,250221.0,252883.0,253586.0,253834.0
