Remote_Ratio,Tigon,Tigon (NoSharedReader),Tigon (NonTemporal),Tigon (NoSWcc)
0,1682980.0,1682980.0,1682980.0,1682980.0
10,1042640.0,904327.0,358629.0,858528.0
20,932835.0,750955.0,345930.0,590904.0
30,857642.0,646552.0,341148.0,446431.0
40,798837.0,570484.0,338315.0,355340.0
50,756193.0,516141.0,336401.0,295880.0
60,721599.0,472727.0,333303.0,255458.0
70,691560.0,439376.0,329696.0,224904.0
80,664436.0,411580.0,327917.0,200961.0
90,644330.0,389808.0,324460.0,179773.0
100,626952.0,373371.0,320145.0,165224.0
