Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,795702.0,807700.0,796397.0,807242.0
10,548234.0,324295.0,540048.0,228134.0
20,457234.0,226201.0,453809.0,143813.0
30,396773.0,179456.0,395138.0,105616.0
40,351751.0,150351.0,351079.0,84728.6
50,316819.0,131263.0,315985.0,68313.3
60,288492.0,117061.0,288648.0,61116.1
70,265492.0,106215.0,265367.0,53313.8
80,246018.0,97414.8,245876.0,47181.2
90,229151.0,90063.5,228894.0,42027.0
100,215830.0,84008.0,214877.0,38458.0
