Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1138860.0,1190130.0,1137390.0,1189950.0
10,774101.0,684354.0,774421.0,397616.0
20,675484.0,500306.0,674289.0,236082.0
30,599549.0,395833.0,601080.0,166870.0
40,542107.0,328197.0,541543.0,123376.0
50,495050.0,281105.0,495641.0,107059.0
60,453940.0,246410.0,455220.0,88357.7
70,421466.0,219602.0,421238.0,77985.3
80,392617.0,198088.0,391383.0,66618.8
90,366554.0,180545.0,367214.0,60455.2
100,344339.0,165847.0,345409.0,55634.8
