Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1119030.0,1118300.0,1121620.0,1120550.0
10,553893.0,372539.0,550321.0,264338.0
20,409730.0,253015.0,408228.0,163653.0
30,327450.0,199713.0,326824.0,120079.0
40,274040.0,167342.0,273431.0,96333.8
50,235930.0,144974.0,234896.0,78947.8
60,207291.0,129559.0,206975.0,69766.8
70,185319.0,116968.0,184903.0,59309.3
80,167542.0,107381.0,167544.0,52897.6
90,152789.0,99591.6,152922.0,48529.5
100,140893.0,92538.8,140825.0,43216.8
