Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1733510.0,1751420.0,1735840.0,1746970.0
10,801732.0,896873.0,798036.0,470564.0
20,624181.0,624907.0,621709.0,268982.0
30,513116.0,479102.0,511085.0,191683.0
40,435028.0,388284.0,435516.0,146503.0
50,378257.0,324444.0,378136.0,117598.0
60,334485.0,283254.0,333604.0,100970.0
70,299321.0,246992.0,300009.0,86592.4
80,271798.0,221664.0,271764.0,77567.2
90,248071.0,201734.0,248343.0,68709.8
100,229183.0,182231.0,229164.0,65056.9
