Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1142340.0,1192980.0,1141080.0,1193030.0
10,921640.0,688256.0,920947.0,391618.0
20,901945.0,501992.0,902796.0,227808.0
30,887020.0,397010.0,889830.0,161925.0
40,875720.0,330072.0,874833.0,125266.0
50,863495.0,280850.0,863544.0,101989.0
60,853555.0,247432.0,853770.0,89843.1
70,845042.0,220486.0,843421.0,75019.1
80,837486.0,198469.0,835967.0,66913.0
90,829714.0,180528.0,829215.0,61480.4
100,823471.0,166158.0,823195.0,54664.6
