Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1146520.0,1192980.0,1148760.0,1193030.0
10,598645.0,688256.0,599779.0,391618.0
20,593080.0,501992.0,591773.0,227808.0
30,584874.0,397010.0,585871.0,161925.0
40,579773.0,330072.0,580291.0,125266.0
50,574155.0,280850.0,575364.0,101989.0
60,569610.0,247432.0,568373.0,89843.1
70,566233.0,220486.0,567225.0,75019.1
80,564313.0,198469.0,563631.0,66913.0
90,558490.0,180528.0,560089.0,61480.4
100,558182.0,166158.0,558057.0,54664.6
