Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,1147120.0,1192980.0,1145570.0,1193030.0
10,764050.0,688256.0,764960.0,391618.0
20,736844.0,501992.0,736067.0,227808.0
30,711093.0,397010.0,711798.0,161925.0
40,689104.0,330072.0,690362.0,125266.0
50,668881.0,280850.0,670809.0,101989.0
60,654512.0,247432.0,652259.0,89843.1
70,640753.0,220486.0,640198.0,75019.1
80,626117.0,198469.0,627335.0,66913.0
90,616263.0,180528.0,614449.0,61480.4
100,605892.0,166158.0,603899.0,54664.6
