Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,798590.0,807376.0,797176.0,810295.0
10,665374.0,324226.0,658006.0,228055.0
20,634060.0,225770.0,631541.0,142732.0
30,605085.0,178900.0,604127.0,103583.0
40,577458.0,151203.0,578549.0,84373.0
50,559131.0,131313.0,556270.0,69967.3
60,538835.0,117417.0,537712.0,60187.0
70,523639.0,106434.0,522022.0,52080.7
80,507175.0,97418.1,506939.0,46869.5
90,495407.0,90059.5,492991.0,42086.8
100,482987.0,83875.0,481617.0,38973.0
