Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,798968.0,807376.0,796213.0,810295.0
10,441629.0,324226.0,435656.0,228055.0
20,425972.0,225770.0,420628.0,142732.0
30,411218.0,178900.0,409773.0,103583.0
40,396980.0,151203.0,396197.0,84373.0
50,385960.0,131313.0,385115.0,69967.3
60,374986.0,117417.0,373772.0,60187.0
70,366125.0,106434.0,365304.0,52080.7
80,357134.0,97418.1,357317.0,46869.5
90,348782.0,90059.5,349031.0,42086.8
100,341544.0,83875.0,341965.0,38973.0
