Remote_Ratio,SundialPasha-CXL,Sundial-CXL,SundialPasha-NET,Sundial-NET
0,793660.0,807376.0,796979.0,810295.0
10,570741.0,324226.0,565226.0,228055.0
20,535069.0,225770.0,530038.0,142732.0
30,503802.0,178900.0,501571.0,103583.0
40,476441.0,151203.0,476889.0,84373.0
50,455519.0,131313.0,453916.0,69967.3
60,433856.0,117417.0,433199.0,60187.0
70,418732.0,106434.0,418183.0,52080.7
80,403794.0,97418.1,402404.0,46869.5
90,392031.0,90059.5,390654.0,42086.8
100,380295.0,83875.0,380106.0,38973.0
