Remote_Ratio,SundialPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1095440.0,1118120.0,1095090.0,1117730.0,1094800.0
10,889695.0,661210.0,633390.0,374845.0,358520.0
20,867809.0,487284.0,465835.0,234371.0,209456.0
30,851225.0,386730.0,370530.0,167148.0,153635.0
40,835713.0,322498.0,310190.0,129577.0,119775.0
50,823224.0,277344.0,266878.0,105621.0,97250.2
60,810076.0,243055.0,235219.0,87338.4,82964.9
70,801179.0,216517.0,209964.0,76711.4,71971.6
80,789386.0,195661.0,189941.0,67420.7,65627.4
90,784898.0,178117.0,173426.0,60476.0,56500.5
100,778215.0,164007.0,159918.0,55447.5,51748.0
