Remote_Ratio,SundialPasha-CXL-FIFO,TwoPLPasha-CXL-FIFO,SundialPasha-CXL-NoMoveOut,TwoPLPasha-CXL-NoMoveOut
0,730130.0,776344.0,729481.0,775904.0
10,472668.0,440863.0,568990.0,555158.0
20,364025.0,324802.0,535235.0,508459.0
30,299516.0,260441.0,509142.0,473319.0
40,255716.0,219608.0,486216.0,446075.0
50,224592.0,190426.0,466124.0,422353.0
60,199792.0,168979.0,450029.0,405760.0
70,181222.0,151506.0,435831.0,388495.0
80,165008.0,137962.0,422166.0,373270.0
90,152534.0,126568.0,411706.0,362626.0
100,141970.0,117627.0,401942.0,352099.0
