Remote_Ratio,SundialPasha-CXL-FIFO,TwoPLPasha-CXL-FIFO,SundialPasha-CXL-NoMoveOut,TwoPLPasha-CXL-NoMoveOut
0,969335.0,1051490.0,875679.0,1051580.0
10,674311.0,721648.0,647693.0,738686.0
20,527030.0,554684.0,628978.0,713107.0
30,438204.0,450496.0,614021.0,692363.0
40,374654.0,381157.0,603594.0,673463.0
50,329362.0,328986.0,596126.0,657106.0
60,294023.0,292033.0,587877.0,642948.0
70,264694.0,260766.0,579019.0,630738.0
80,241410.0,235753.0,570666.0,620404.0
90,222273.0,215578.0,564541.0,611562.0
100,205330.0,198832.0,561771.0,604917.0
