Remote_Ratio,SundialPasha-CXL,TwoPLPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,730130.0,776344.0,729224.0,763055.0,728075.0,760659.0
10,472668.0,440863.0,319433.0,337037.0,227711.0,252857.0
20,364025.0,324802.0,225956.0,232757.0,138454.0,158149.0
30,299516.0,260441.0,179769.0,182479.0,105391.0,116373.0
40,255716.0,219608.0,151746.0,152611.0,82251.1,90820.8
50,224592.0,190426.0,132691.0,131702.0,69133.9,76069.0
60,199792.0,168979.0,118310.0,116232.0,59610.5,66376.0
70,181222.0,151506.0,106819.0,104188.0,51908.7,55752.4
80,165008.0,137962.0,98367.8,95291.7,47651.2,50028.0
90,152534.0,126568.0,90938.1,87612.5,42914.6,45576.0
100,141970.0,117627.0,84612.1,80766.7,39005.0,40790.3
