Remote_Ratio,SundialPasha-CXL,TwoPLPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,969335.0,1051490.0,972426.0,1034660.0,970096.0,1036100.0
10,674311.0,721648.0,604556.0,693154.0,365196.0,436013.0
20,527030.0,554684.0,452585.0,536042.0,222210.0,277937.0
30,438204.0,450496.0,365763.0,443905.0,160652.0,207146.0
40,374654.0,381157.0,307400.0,379332.0,124076.0,162709.0
50,329362.0,328986.0,266640.0,332909.0,102389.0,132859.0
60,294023.0,292033.0,234715.0,296801.0,85167.2,115259.0
70,264694.0,260766.0,210571.0,267523.0,74687.5,99103.4
80,241410.0,235753.0,190686.0,244978.0,66043.6,87894.0
90,222273.0,215578.0,174647.0,225680.0,58684.8,77516.5
100,205330.0,198832.0,160968.0,209051.0,54298.4,73188.6
