Remote_Ratio,SundialPasha-CXL-WT,TwoPLPasha-CXL-WT,SundialPasha-CXL-HCC,TwoPLPasha-CXL-HCC,SundialPasha-CXL-NT,TwoPLPasha-CXL-NT
0,1949350.0,1422150.0,1941260.0,1424400.0,1953520.0,1418160.0
10,1125000.0,785740.0,1168470.0,824967.0,1095000.0,734618.0
20,812319.0,570940.0,852441.0,609431.0,794559.0,538643.0
30,636632.0,453655.0,676523.0,488008.0,626333.0,428604.0
40,524368.0,377866.0,560233.0,409829.0,517608.0,358181.0
50,447235.0,325229.0,479151.0,355120.0,442023.0,308449.0
60,392084.0,286330.0,418928.0,312571.0,385885.0,271280.0
70,346066.0,256241.0,373036.0,282084.0,341896.0,242862.0
80,311255.0,232558.0,335597.0,255518.0,308139.0,220249.0
90,283438.0,213093.0,306127.0,234252.0,280197.0,201474.0
100,260182.0,196422.0,280486.0,216242.0,257026.0,185886.0
