Remote_Ratio,SundialPasha-CXL-WT,TwoPLPasha-CXL-WT,SundialPasha-CXL-HCC,TwoPLPasha-CXL-HCC,SundialPasha-CXL-NT,TwoPLPasha-CXL-NT
0,1925870.0,1624620.0,1909140.0,1626890.0,1918460.0,1626110.0
10,1252110.0,1072060.0,1359010.0,1140250.0,1205820.0,818482.0
20,1211950.0,1034390.0,1327080.0,1126940.0,1182160.0,807762.0
30,1177600.0,1003830.0,1303920.0,1120730.0,1160170.0,800549.0
40,1149140.0,983705.0,1279260.0,1114490.0,1145630.0,797307.0
50,1129340.0,963069.0,1266650.0,1108230.0,1129540.0,791984.0
60,1110680.0,948355.0,1252300.0,1109100.0,1125480.0,787183.0
70,1093990.0,935850.0,1242450.0,1110980.0,1121010.0,784792.0
80,1084180.0,930440.0,1230500.0,1111770.0,1114980.0,782777.0
90,1074900.0,920669.0,1218890.0,1117400.0,1107410.0,781881.0
100,1065050.0,917533.0,1219340.0,1118520.0,1103500.0,785100.0
