Remote_Ratio,Tigon-LRU-1000,Tigon-LRU-10000,Tigon-LRU-100000,Tigon-LRU-1000000,Tigon-LRU-10000000
0,1653160.0,1654700.0,1659040.0,1651480.0,1654630.0
10,940810.0,976651.0,944254.0,883707.0,1017540.0
20,621021.0,702919.0,674522.0,642901.0,971828.0
30,453009.0,551012.0,526530.0,510096.0,932299.0
40,350743.0,453653.0,431949.0,420620.0,902719.0
50,284184.0,386328.0,367308.0,361485.0,877567.0
60,237084.0,335544.0,319094.0,316521.0,855296.0
70,201610.0,298115.0,284538.0,281056.0,836971.0
80,174279.0,267195.0,253908.0,252512.0,820038.0
90,153074.0,243361.0,232560.0,228823.0,804872.0
100,135042.0,222838.0,213646.0,211584.0,792908.0
