Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET,Motor-RDMA(28thd)
0,1064950,985843,1059990,984150,1058900,229220
10,728880,611243,705654,364252,458933,228220
20,711241,457737,546672,223752,281784,226409
30,695361,369048,450232,162862,205984,226764
40,680892,311473,384381,123468,161124,228782
50,668509,268742,337536,106012,135071,229056
60,660386,237612,300327,86463.4,114174,226061
70,650769,212693,271014,77696.2,100079,228999
80,644213,192819,247737,68295,88729.8,226557
90,638286,176701,228129,61057,81247.1,226210
100,631854,162462,210917,55579.8,72723.6,226905
