Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET,Motor-RDMA(28thd)
0,1420540,1943720,1422070,1939690,1427520,399288
10,1058330,943044,759876,516855,506566,398694
20,1004400,651133,552889,300190,317023,399441
30,957370,502250,446339,211970,236901,399415
40,916436,412386,377384,161589,190817,398483
50,888644,350112,328622,131266,155324,393390
60,861503,304364,293875,111272,133999,396022
70,840326,270028,265272,96271.7,116396,392624
80,821867,242443,242026,85113.7,104176,392297
90,805606,219797,223902,74991.5,92338.9,392709
100,791029,201209,207870,67830,85033.2,391465
