Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1659400.0,1977110.0,1662780.0,1983590.0,1665610.0
10,1049870.0,1079130.0,1109300.0,565441.0,656221.0
20,1020160.0,755678.0,845751.0,328610.0,395730.0
30,999524.0,585646.0,686313.0,228373.0,291429.0
40,979764.0,480189.0,584870.0,173238.0,221664.0
50,967290.0,406996.0,506470.0,141708.0,184771.0
60,958171.0,354222.0,449749.0,122596.0,157640.0
70,951754.0,312650.0,402218.0,106361.0,140804.0
80,944455.0,281144.0,366508.0,91341.2,122009.0
90,940627.0,254270.0,335670.0,82919.0,109687.0
100,941399.0,233543.0,310155.0,73997.4,98933.8
