Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET,Motor-RDMA(35thd)
0,1064950,985843,1059990,984150,1058900,225503
10,728880,611243,705654,364252,458933,226310
20,711241,457737,546672,223752,281784,226217
30,695361,369048,450232,162862,205984,225701
40,680892,311473,384381,123468,161124,224355
50,668509,268742,337536,106012,135071,225665
60,660386,237612,300327,86463.4,114174,224313
70,650769,212693,271014,77696.2,100079,224790
80,644213,192819,247737,68295,88729.8,224452
90,638286,176701,228129,61057,81247.1,225503
100,631854,162462,210917,55579.8,72723.6,226310
