Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1793050.0,1711610.0,1197270.0,1156450.0,1200460.0,1171110.0
10,1072270.0,1082790.0,608646.0,658284.0,423038.0,489615.0
20,777278.0,808455.0,412287.0,477764.0,261917.0,305042.0
30,612745.0,644489.0,318108.0,381330.0,185103.0,223094.0
40,505984.0,540034.0,262183.0,314434.0,143692.0,173146.0
50,434241.0,458951.0,219773.0,267766.0,118391.0,139052.0
60,375056.0,404747.0,187997.0,229668.0,100590.0,120379.0
70,333210.0,362050.0,169974.0,200890.0,91487.8,105310.0
80,301906.0,325730.0,150261.0,183634.0,74749.4,92934.7
90,273344.0,294131.0,135125.0,165624.0,70319.2,82408.1
100,251649.0,273976.0,122440.0,151576.0,63549.1,72589.8
