Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,278647.0,286252.0,188712.0,193125.0,188387.0,192888.0
10,209971.0,213301.0,133919.0,138157.0,124161.0,123414.0
20,173582.0,176720.0,109961.0,110286.0,95450.0,94619.0
30,150769.0,151616.0,93893.4,94523.3,78817.6,77134.5
40,134557.0,134995.0,84504.6,82946.4,65188.0,65354.6
50,120842.0,120882.0,75440.1,75094.2,55432.7,55444.4
60,110653.0,110088.0,68612.1,67524.8,49094.5,48718.2
70,101870.0,101473.0,62139.3,62275.2,45218.5,43459.9
80,94647.2,94092.4,57301.2,57269.3,41576.7,39092.5
90,87262.4,87417.3,53510.4,52614.0,36612.0,35611.6
100,83364.8,82424.0,50686.2,49676.0,34659.8,33532.3
