Remote_Ratio,Tigon-200MB,Tigon-150MB,Tigon-100MB,Tigon-50MB,Tigon-10MB
0,1682980.0,1667390.0,1683460.0,1669140.0,1669280.0
10,1042640.0,1017340.0,1011180.0,872837.0,832043.0
20,932835.0,911033.0,906265.0,673501.0,574243.0
30,857642.0,833094.0,837442.0,551162.0,435897.0
40,798837.0,779547.0,775537.0,470062.0,350298.0
50,756193.0,732018.0,731384.0,406700.0,293858.0
60,721599.0,695687.0,700786.0,360940.0,252547.0
70,691560.0,670698.0,674478.0,322739.0,222247.0
80,664436.0,644893.0,645714.0,293166.0,196528.0
90,644330.0,625066.0,623699.0,268341.0,176448.0
100,626952.0,605410.0,607859.0,247542.0,161663.0
