Remote_Ratio,0/0,10/15,20/30,30/45,40/60,50/75,60/90
Tigon-no-logging
Tigon-1ms,5605.0,5887.0,6067.0,6263.0,5480.0,5997.0,6254.0
Tigon-10ms,10286.0,10226.0,10317.0,10189.0,10409.0,10318.0,10435.0
Tigon-20ms,16232.0,16086.0,16253.0,16004.0,16244.0,16080.0,16022.0
Tigon-30ms,21995.0,21654.0,21340.0,21571.0,21835.0,21689.0,21880.0
Tigon-40ms,27500.0,27273.0,26807.0,27168.0,27120.0,27161.0,27189.0
Tigon-50ms,32330.0,32551.0,32758.0,32407.0,32714.0,32712.0,32630.0
Remote_Ratio,0/0,10/15,20/30,30/45,40/60,50/75,60/90
Tigon-no-logging
Tigon-1ms,16222.0,16872.0,17312.0,17576.0,16912.0,16711.0,17201.0
Tigon-10ms,22255.0,21863.0,22123.0,21787.0,22120.0,22230.0,22556.0
Tigon-20ms,32567.0,32493.0,32572.0,32301.0,32812.0,32053.0,32155.0
Tigon-30ms,43306.0,42739.0,42487.0,42419.0,43103.0,42798.0,43034.0
Tigon-40ms,53893.0,52958.0,52004.0,53343.0,53166.0,52785.0,53275.0
Tigon-50ms,63147.0,63154.0,63486.0,63165.0,63758.0,63317.0,63207.0
