Remote_Ratio,0,10,20,30,40,50,60,70,80,90,100
Tigon-no-logging
Tigon-1ms,6676.0,6022.0,7400.0,6207.0,6719.0,6793.0,6355.0,5955.0,6558.0,6560.0,6170.0
Tigon-10ms,10715.0,10757.0,10588.0,10553.0,10384.0,10367.0,10491.0,10426.0,10403.0,10487.0,10370.0
Tigon-20ms,16972.0,16454.0,16543.0,16400.0,16527.0,16401.0,16363.0,16342.0,16400.0,16535.0,16370.0
Tigon-30ms,22721.0,22348.0,22361.0,22302.0,22136.0,22035.0,22073.0,22161.0,21803.0,22075.0,22050.0
Tigon-40ms,28120.0,28236.0,28065.0,27425.0,27679.0,27913.0,27474.0,27907.0,27603.0,27296.0,27543.0
Tigon-50ms,34134.0,33863.0,33133.0,33624.0,33494.0,33157.0,33218.0,32766.0,33264.0,32616.0,33080.0
Remote_Ratio,0,10,20,30,40,50,60,70,80,90,100
Tigon-no-logging
Tigon-1ms,18599.0,18146.0,22495.0,17488.0,18708.0,19713.0,19042.0,18105.0,20025.0,18153.0,18487.0
Tigon-10ms,22791.0,22967.0,22605.0,22426.0,22221.0,22033.0,22498.0,22121.0,22242.0,22440.0,22019.0
Tigon-20ms,34104.0,32918.0,32906.0,32676.0,32945.0,32845.0,32681.0,32710.0,32919.0,33045.0,32803.0
Tigon-30ms,45025.0,43884.0,43662.0,43375.0,43354.0,43245.0,43264.0,43621.0,42883.0,43305.0,43113.0
Tigon-40ms,55278.0,55049.0,54680.0,53035.0,53939.0,54128.0,53312.0,54044.0,53386.0,52783.0,53387.0
Tigon-50ms,66133.0,65387.0,64145.0,64340.0,64675.0,64363.0,63962.0,62819.0,63901.0,63040.0,63752.0
