Remote_Ratio,Tigon,Sundial-CXL-improved,TwoPL-CXL-improved,Motor
0,2520360.0,2888450.0,2586940.0,232782
10,1592120.0,1801990.0,1376630.0,232840
20,1475990.0,1213130.0,1069950.0,232642
30,1402240.0,931722.0,890112.0,232672
40,1348890.0,880496.0,750608.0,232317
50,1273200.0,746816.0,645028.0,232691
60,1241050.0,648967.0,566989.0,232562
70,1203500.0,579159.0,472777.0,232694
80,1168510.0,518680.0,358842.0,232789
90,1136560.0,435557.0,405330.0,232619
100,1075020.0,387524.0,374074.0,232698
