Remote_Ratio,Tigon,Tigon-ReadCXL,Sundial-CXL-improved,TwoPL-CXL-improved
0,2520360.0,2474500.0,2888450.0,2586940.0
10,1592120.0,670043.0,1801990.0,1376630.0
20,1475990.0,664157.0,1213130.0,1069950.0
30,1402240.0,636520.0,931722.0,890112.0
40,1348890.0,632114.0,880496.0,750608.0
50,1273200.0,609344.0,746816.0,645028.0
60,1241050.0,599693.0,648967.0,566989.0
70,1203500.0,588337.0,579159.0,472777.0
80,1168510.0,584180.0,518680.0,358842.0
90,1136560.0,561815.0,435557.0,405330.0
100,1075020.0,559442.0,387524.0,374074.0
